track_id,artist,song,favorites
2b671,Katelyn Tarver,Weekend Millionaires (Young Bombs Remix),5756
2dbd5,Super Duper,Finale feat. Ruelle,46
2asd3,Raye,Bet U Wish (Lucian Remix),3267
2amzz,Vokab Kompany,Kaleidoscope (Produced by JPOD),66
2a19e,Usher,You Make Me Wanna (Rainer + Grimm Remake...,3583
29qrn,Phoebe Ryan,Mine (Illenium Remix),4794
1ystj,ODESZA,My Friends Never Die,21727
2arhx,Sofi De La Torre,Lovers Work Late (FREE N LOSH REMIX),39
2arjh,The Beautiful Girls,Long Way Home (Danielle Remix),254
2dj6h,Ed Sheeran,Pony (Koni Remix),2227
2aw79,Miss Velvet,Cincinnati Street (Pnau Remix),3080
2fr9b,Kiiara,Feels (Jai Wolf Remix),7733
2apx8,Will Smith,Miami (Matoma Remix),7138
21gbh,French Montana,"All For You (Feat. Lana Del Rey, Snoop D...",4653
2h9tx,The Chainsmokers feat. Charlee,Inside Out (KLYMVX Remix),1906
2bbqc,Andrew Gentry Remix,Machine Gun Funk (feat. Lana Del Rey & S...,168
29n3j,JAUZ,Riff Raff- Tip Toe Wing In My Jawwdinz (...,414
2bnb8,Tep No,Pacing,4908
2abcp,Wolf Saga feat. LYON,Kids (MGMT Cover),5300
2chfd,Roy Wood$,Drama Feat. Drake,4240
2a2q4,Tei Shi,Bassically (Body Language Remix),2200
20658,Kwabs,Last Stand (produced by SOHN),1862
2qsqd,Ladytron,The Animals (Vince Clarke Remix),138
2rb0s,FRANKIIE,Dream Reader,869
2dzpt,Oliver Nelson feat. Heir,Found Your Love (Plastic Plates Remix),1380
23rmb,Clean Bandit,Rather Be (Cash Cash & Valley Remix),5418
269zz,BANKS,Someone New,220
2rgva,KOWL & Anjulie,Just Words (Lifelike Remix),840
26811,YELLE,Complètement Fou,7061
1yzvf,Empire of the Sun,DNA (Alex Metric Remix),3622
25c91,David Guetta,Lovers On The Sun feat. Sam Martin,1158
23wc4,Chromeo,Jealous (Dillon Francis Remix),7263
26eq4,Galantis,Help (Elephante Remix),3764
2mwm9,ZHU,Intoxicate,393
1xsjf,Portugal. The Man,Purple Yellow Red and Blue (Passion Pit...,9348
27ahj,VÉRITÉ,Heartbeat,559
1rnx4,Ivan & Alyosha,Running for Cover,5162
2r49x,Chromeo,Must've Been (feat. DRAM),423
2qpj4,Starchild & The New Romantic,Can I Come Over?,103
2ewjy,Temptations,Proud (Autograf Remix),5360
2mw94,Lorde,Green Light (Hotel Garuda Remix),2912
2m4sj,LANY,Good Girls,489
1z507,SOHN,Lessons,2689
2rgj7,Satin Jackets feat. Emma Brammer,Take It From Me,434
2s612,Maribou State,Nervous Tics (feat. Holly Walker),2005
23nxw,Nelly,"Ride Wit Me (Viceroy ""Jet Life"" Remix)",12991
27kmg,CHVRCHES,Dead Air,4604
216vj,Blood Orange,You're Not Good Enough (Holy Ghost! boot...,3425
24xge,La Roux,Tropical Chancer,4661
27ece,Majid Jordan,Her (Stwo Edit),2443
202ba,Pale.,Rundown,2177
1njwr,Freelance Whales,Locked Out,3039
1frya,Alex Clare,Caroline,9675
1evmf,Big Sean,Dance (A$$) Remix (feat. Nicki Minaj),2380
1mrrx,g-eazy,Mad feat. Devon Baldwin,971
1e6nx,Spank Rock,Car Song (feat. Santigold),3209
1hx57,Flo Rida - Wild Ones ft. Sia (Project 46 Remix),Radio Edit,5217
1eqyr,Alex Clare,Too Close,16290
1mmhn,The ILLZ,Closer,1228
1hb87,W.E.E.D,Love For Free,3197
1gx77,wallpaper,Blake Griffinin',474
swfk,The Avett Brothers,I and Love and You,2798
1tpmq,Frank Ocean,Eyes Like Sky,5504
1ahsv,Ben Howard,Three tree town,634
ayxk,Deer Tick,Art Isn't Real (City of Sin),976
11vt3,Sleigh Bells,Run the Heart,778
1qpyk,No Pets Allowed,Take A Firefly (Childish Gambino x Passi...,1867
1bd87,Young The Giant,Cough Syrup,2335
1mvxb,Childish Gambino,Shoulda Known,1986
18trr,VICKI LEEKX,Bad Girls,785
1fdcy,Lianne La Havas,No Room for Doubt (feat. Willy Mason),283
1he8y,Rusko,Somebody To Love,5920
1dch8,White Lotus (Notorious B.I.G. vs. Kanye West),Suicidal Thoughts Runaway,6601
1dmsf,Crizzly & Kids At The Bar,Like Dat,1756
1hg76,Kishi Bashi,Bright Whites,3113
1cw9y,Portugal. The Man,Everything You See (Kids Count Halleluja...,119
1f84t,Fytch,Nina Simone - Feeling Good (Fytch Remix),113
1f432,Childish Gambino,All the Shine,1662
22ctn,Chet Faker,Talk Is Cheap,15798
1h4vp,Walk Off The Earth,Somebody That I Used To Know (Gotye Cove...,5595
1h6jj,The Weeknd,Same Old Song (Paper Diamond Remix),2155
1f1xt,Chiddy Bang,Put It In Your Manners (DJ 21azy Mashup),11800
1hkdv,SWIM DEEP,King City,5285
1hhnx,Dev ft Timbaland,Don't Hurt,1375
222bx,Cloud Nothings,I'm Not Part Of Me,1479
1gs61,Sol,Stage Dive,6345
1bwmf,Beyoncé,Best Thing I Never Had,668
ydsd,Death Cab For Cutie,What Sarah Said,604
1j7h5,Santigold,Disparate Youth,17246
1y44y,Natural Animal,Who You Are,3573
1bkjd,Drake,Dreams Money Can Buy,7146
27msa,Father John Misty,Bored In The USA,1760
22efp,Step Rockets,Kisser (RII Remix),3619
1kcac,Chris Brown,Till I Die featuring Big Sean & Wiz Khal...,2067
154kn,Akello Light,Esperanza Spalding- I Know feat Akello L...,53
1p76c,Rachel Haircut,#NICODEINE CRUSH (Friendships rework),7
1jcjm,Andrew Bird,Give It Away,613
1d9ky,Grouplove,Tongue Tied,4887
1bstm,Chiddy Bang,Too Much Soul,7711
1p4t8,Daughter,Smother,3594
1ts9f,Capital Cities,Safe And Sound (Cash Cash Remix),4967
1mef0,DVBBS,DRVGS (Aether & Clinton VanSciver Remix),100
582t,Pearl Jam,Yellow Ledbetter,502
19svs,The Shangri-Las,Remember (Adventure Club Dubstep Remix),934
2498k,Atmosphere,Let Me Know What You Want Now,3046
1fefv,Skrillex Ft. The Doors,Breakn' a Sweat,5973
1b4s8,Neon Hitch,Silly Girl (Brenton Duvall Remix feat. W...,5206
1aarc,Alex Winston,Sister Wife (Star Slinger Remix),7147
1t73q,French Films,Latter Days,80
2cbrq,Bag Raiders,Waterfalls,3145
1p774,The Cataracs,All You (Dstar & Benzi Remix),146
1p3kh,Guy Sebastian,Battle Scars feat. Lupe Fiasco,1434
18h5w,ANR,Stay Kids,251
w6fn,Mumford And Sons,Little Lion Man,15529
1qg3h,Bassnectar,Hologram,1874
11c19,Tegan and Sara,Alligator (Passion Pit Remix),623
1r44v,Flume,Bring You Down feat. George Maple,3791
25dhc,James Vincent McMorrow,Cavalier (MOORS Remix),1528
1pw7k,Japanther,Porcupine,11
20t4h,Alina Baraz & Galimatias,Make You Feel,4544
67aw,John Mayer,Vultures,542
1j5pm,Running,Jessie Ware (Disclosure Remix),5942
1xwnk,Tchami x Janet Jackson,Go Deep,1340
2b4gv,Marvin Gaye,Ain't That Peculiar (Beshken Remix),3519
1t6wy,Teedra Moses,Be Your Girl (Kaytranada Edition),5023
2bq1c,Harrison Brome,Fill Your Brains (Master),2738
222ef,Prinze George,Victor,10008
2c1d3,Toro y Moi,2Late feat. Kool A.D. and SAFE,1168
20jqq,TEEMID & Joie Tan,Crazy (Gnarls Barkley Cover),19448
27asb,King Krule,Kring Krule - Will I Come (Jad & The Lad...,45
16zjj,The White Panda,Stereo Hands (Edward Maya // Waka Flocka...,10932
2055a,Common,I Want You (Kaytranada Edition),6071
1xb96,Mofro,Brighter Days (Bakermat Remix),468
244zh,Filous,Summer (Cover),636
12h28,Mark Ronson,Bang Bang Bang feat. Q-Tip,5368
2dkge,Green Velvet & Riva Starr,Robots,26
21wy6,20SYL,20syl - 10YRS (Hip Opsession 10th annive...,774
22kt8,Darius (Official),Hot Hands,5908
2cgb7,Superhumanoids,Norwegian Black Metal,257
1ytke,Eels,I Need Some Sleep (Dwin Remix),92
1x6xg,WE SINK,White Lies (feat. Eski Göten),47
15qhc,Macklemore and Ryan Lewis,Otherside feat. Fences [Ryan Lewis REMIX...,4837
28f7p,FAUL,Something New (Original mix),506
21s6e,J. Cole,New York Times (Feat. 50 Cent And Bas),408
2957a,Whitney Houston,Fine (LeMarquis & FAB Remix),3182
23f91,Mario Basanov feat. Stee Downes,Say What Ya Want (Original Mix,13
15tzn,Tiger Love,Pussy Cocaine,4783
ke8x,China Drum,Wuthering Heights,21
13598,Les Paul & Mary Ford,Tennessee Waltz,18
11j8p,Regina Spektor,No Surprises (Radiohead Cover),3656
1etze,Lana Del Rey,Video Games (Jamie Woon Remix),5846
1hq4p,The Young Professionals,Video Games (Lana Del Rey Cover),5728
vfbx,Anjulie,Love Songs (Bimbo Jones Dub),19
1q7sy,Solange,Losing You,5034
sbsx,ComaR,I Want You D.A.N.C.E. (Justice vs. Jacks...,1085
1d1d4,This Century,Paper Planes (M.I.A. cover),83
16dvs,Ellie Goulding,Sweet Disposition,1827
15pan,Sean Kingston,Letting Go feat. Nicki Minaj (Kingdom Du...,3586
169gc,Dale Earnhardt Jr. Jr.,God Only Knows,1300
13t4p,Jeff Buckley,Dido's Lament,21
1wqyw,The Hood Internet,Doin' It Good (Kanye West vs Daft Punk),9555
15tqn,Anjulie,Fuck You (Cee-lo cover),1020
16ptn,Wiz Khalifa,Real Estate,5777
1nw3w,Miguel,Adorn,927
14bez,Dschinghis Khan,Moskau,95
13pkk,Neon Hitch,Drop It Like Its Hot (Snoop Dogg vs. Ali...,3031
w8y4,Danny Elfman,Beetlejuice Theme (Kamei Halloween Edit),116
15dtb,Far East Movement,Like A G6 (Disco Fries Remix),380
x7c5,Nina Gordon,Straight Out Of Compton (N.W.A. cover),356
1drrr,Diana Ross & the Supremes and The Temptations,The Weight (The Band cover),59
1fk42,Deadmau5,Strobe (Special Features Remix),12104
rj00,Lady GaGa,Viva La Vida (Coldplay Cover) at BBC Rad...,1106
xyc7,Coldplay,Fix You (Randy Boyer's OGL 09 Mix),2162
21h16,Childish Gambino,3005 (Akouo Remix),2117
21fzr,Rapsody,Illuminaughty(Chinchilla)Prod. by 9th Wo...,60
21jpk,Future,Rocky,54
21805,Future,Shit (Remix) (feat. Drake & Juicy J),1108
21jdb,Que,OG Bobby Johnson (Walshy Fire & KickRaux...,62
21tmg,Nipsey Hussle,Count Up That Loot,35
21scz,Que,From The Jump,72
1ydvp,Drake,"Hold On, We're Going Home (feat. Majid J...",19207
1z9zd,2 Chainz,Netflix Feat. Fergie (prod. by Honorable...,342
202jk,Tinie Tempah,Trampoline feat. 2 Chainz (Grandtheft &...,4283
21cy1,Drake,All Me (Stwo Remix),9074
1yk0w,Dreamchasers Records,Meek Lil Nigga Snupe,127
21emv,Drake,Drake - We Made It Freestyle,4121
1qvh5,Kendrick Lamar,Poetic Justice (Feat. Drake),287
213wb,August Alsina,"I Luv This Shit"" feat. Trinidad James",299
20fxn,Dillon Francis,Without You feat. T.E.E.D (Hayden James...,4717
1zmmg,Drake,Worst Behavior (THUGLI Remix),2685
21hzc,Wu-Tang Clan,Let Me at Them,68
1766r,The XX vs Notorious B.I.G.,A Juicy Intro,397
15phz,Sun Airway,"Oh, Naoko",679
5553,Coldplay,The Scientist,1013
11gr5,Yolanda Be Cool & DCUP,We No Speak Americano,11519
14nwm,Mighty Mike,Fuck Henrietta (The Fratellis VS Cee-Lo...,197
15pmt,National Badema Du Mali,Namory,15
1gvtb,Focal Fiasco,Starwork (Katy Perry Vs. Muse),38
1e2q6,Flo Rida,Good Feeling,1614
1610w,Maps & Atlases,The Charm,217
qm82,8-Bit,Hip-Hop Medley,3282
1cbev,Vampire Weekend,I'm Going Down (Bruce Springsteen cover),1936
13s8z,Young The Giant,My Body,8838
r9ft,Mumford & Sons,The Cave,11136
amj8,Filter,Take A Picture,358
1565k,GhostWaves,Something I Can Reach,220
b55q,M.I.A.,Paper Planes,4984
1k7xf,Sigur Rós,Svefn-G-Englar,939
13kyp,Katy Perry,Teenage Dream,3745
hcnt,Sigur Rós,Inní mér syngur vitleysingur,685
4x4j,The Jackson 5,I Want You Back,991
20xb2,Pretty Lights,One Day They'll Know (ODESZA Remix),16793
25wd8,Ryn Weaver,Promises,4990
21mw9,Tomas Barfod,Pulsing (feat. Nina K),9513
1zdzz,MAGIC!,Rude,3742
22vrj,Coldplay,Magic,13551
94j3,The Beatles,Come Together,1669
1z284,Laura Welsh,Undiscovered,4773
9s4y,The Beatles,Hey Jude,1532
1ywj2,the xx,stars (newbie nerdz edit),59
20ewx,Flux Pavilion,Freeway,2511
22m80,Drake,The Language (Rook Milo Remix),740
1xjbp,Lorde vs. Biggie,Can I Get Witcha Love Club (Carter Mashu...,1221
24y4b,Bobby Green,Changing Me (feat. Sean Michael Murray),7047
1yn3g,PUPsnakeRecords,No One's Gonna Know,46
264xq,Grace Mitchell,Your Design,2631
1y3d6,Hozier,Like Real People Do,6936
1z7f0,Drake,Too Much (feat. Sampha),2932
26sxm,Alina Baraz & Galimatias,Fantasy,10269
25z73,Vic Mensa.,Wimme Nah (Prod. By Kaytranada),4609
1z0rj,Son Lux,Lost It To Trying,8130
22470,Tomas Barfod,Happy (feat. Eddie Chacon),659
27f4t,DVBBS x DELORA,GOLD SKIES (LIVE ACOUSTIC),527
23emm,ProbCause,LSD feat. Chance The Rapper (The Hood In...,4696
1pee1,Kodaline,All I Want,2371
23h0j,Ben Howard,The Wolves,237
1zrw4,Jeftuz,That Vibe.,1919
1mc7k,RAC,Hollywood (feat. Penguin Prison) (The Ma...,7793
13acq,A-Team,Theme Song (AL-P of MSTRKRFT Remix),688
1n258,Matt & Kim,Let's Go,3873
1qc3d,Shwayze,Love Is Overrated (Clean),3706
202v9,Kill Paris,Ghostbusters (Kill Paris Remix),4559
16n2g,The Beatles,Come together (A.Skillz Remix),2111
18b8p,ANR,It's Around You,1897
1cfa6,5 & A Dime,Skrillmau5,2485
174sx,Wiz Khalifa,Black and Yellow (DJ Kue Remix),5433
1eahn,Justice,Helix,5516
sqgh,M83,We Own The Sky (Udachi Remix),6044
19s6b,Mac Miller,Donald Trump,7908
